Rank,Player,Team,Position,MIN,FGM,FGA,FTM,FTA,3PM,REB,AST,STL,BLK,TO,PTS,Research %ROST,Research +/-,Fantasy TOT,Fantasy AVG,Position List,Projected Fantasy Points,VORP,Adjusted VORP,Tier
268,Goga Bitadze,Orl,C,14.9,2.0,3.5,0.9,1.4,0.1,4.4,1.2,0.5,1.1,0.7,5.1,0.2,0.0,1162.0,17.1,['C'],17.0,-3.6999999999999993,-0.29744903368610687,2
269,Trey Lyles,Sac,PF,19.1,2.8,6.2,1.6,2.0,1.2,4.5,1.1,0.3,0.4,0.8,8.4,0.1,0.0,1161.0,16.6,['PF'],16.5,-4.399999999999999,-0.38676065813262755,2
270,Malik Beasley,Det,SG,23.7,3.5,8.2,0.4,0.5,2.4,3.0,1.2,0.6,0.1,0.6,9.7,1.0,-0.2,1403.0,17.8,['SG'],17.8,-5.699999999999999,-0.5272097495170136,3
271,Pat Connaughton,Mil,"SG, SF",22.6,2.2,5.2,0.6,0.8,1.3,3.5,1.9,0.6,0.2,0.6,6.3,0.3,0.0,1148.0,15.9,"['SG', 'SF']",15.900000000000002,-6.300000000000001,-0.5688948190745597,2
272,Davion Mitchell,Tor,PG,22.1,3.0,6.8,0.6,0.8,1.1,1.8,2.8,0.4,0.1,0.9,7.7,0.7,0.0,1143.0,15.4,['PG'],15.4,-3.700000000000001,-0.2980499457576159,2
273,Torrey Craig,Chi,"PF, SF",21.2,2.3,5.3,0.4,0.6,1.2,4.4,1.2,0.6,0.5,0.7,6.3,0.2,0.0,1141.0,16.5,"['PF', 'SF']",16.4,-4.5,-0.3955506730901874,2
274,Xavier Tillman,Bos,"PF, C",17.9,2.4,5.0,0.6,1.1,0.3,4.1,1.4,0.9,0.7,0.7,5.6,0.8,0.1,1138.0,17.0,"['PF', 'C']",17.099999999999998,-3.6000000000000014,-0.28940987061350953,2
275,Josh Green,Cha,"SG, SF",25.0,3.1,6.2,0.8,1.1,1.1,3.1,2.0,0.8,0.1,1.0,8.0,0.4,0.0,1135.0,17.5,"['SG', 'SF']",17.5,-4.700000000000003,-0.4244135951826083,2
276,Malaki Branham,SA,SG,22.8,3.9,9.0,0.8,0.9,1.3,2.3,2.1,0.4,0.1,1.3,9.8,0.7,-0.4,1129.0,15.7,['SG'],15.700000000000001,-7.799999999999999,-0.7214449203917028,2
277,Mo Bamba,LAC,C,15.0,2.1,4.4,0.7,1.0,0.7,4.7,0.8,0.4,1.1,0.7,5.6,0.7,-0.1,1127.0,16.8,['C'],16.7,-4.0,-0.32156652290389937,2
278,Dalano Banton,Por,PG,17.0,3.2,7.9,1.4,1.8,0.9,2.9,2.1,0.6,0.3,1.2,8.7,0.4,-0.1,1120.0,16.0,['PG'],15.999999999999998,-3.100000000000003,-0.24971752212124596,2
279,Vasilije Micic,Cha,"PG, SG",26.8,3.6,8.4,1.4,1.7,1.0,2.0,6.0,0.7,0.2,2.3,9.6,1.3,-0.5,1105.0,22.1,"['PG', 'SG']",22.1,3.0,0.24166211818185065,3
280,Nikola Jovic,Mia,PF,18.8,2.6,5.9,0.8,1.1,1.3,3.9,1.8,0.5,0.3,0.9,7.4,1.4,0.1,1103.0,16.7,['PF'],16.599999999999998,-4.300000000000001,-0.377970643175068,2
281,Luke Kornet,Bos,C,14.5,2.1,3.0,0.7,0.8,0.0,3.8,1.0,0.3,0.9,0.3,4.9,1.0,0.4,1102.0,16.0,['C'],16.0,-4.699999999999999,-0.3778406644120817,2
282,Moses Moody,GS,"SG, SF",18.5,3.0,6.4,1.1,1.4,1.2,3.0,0.9,0.6,0.3,0.7,8.2,1.1,0.4,1086.0,15.5,"['SG', 'SF']",15.699999999999998,-6.500000000000005,-0.5869549720610541,2
283,Dario Saric,Den,PF,16.3,2.6,5.7,1.2,1.4,1.1,4.2,2.0,0.4,0.1,1.1,7.5,0.3,0.0,1085.0,16.0,['PF'],15.900000000000002,-4.9999999999999964,-0.43950074787798565,2
284,Jaylen Nowell,FA,SG,17.6,3.7,8.0,1.1,1.4,1.0,2.3,2.0,0.5,0.1,0.8,9.3,0.1,0.0,,16.4,['SG'],16.5,-7.0,-0.6474505695822975,2
285,James Wiseman,Ind,C,17.8,3.3,5.5,1.2,1.7,0.0,5.5,0.8,0.2,0.6,1.1,7.8,0.6,0.0,1084.0,16.4,['C'],16.5,-4.199999999999999,-0.3376448490490943,2
286,Julian Champagnie,SA,SF,19.8,2.3,5.6,1.0,1.2,1.4,2.9,1.3,0.6,0.5,0.8,7.0,0.2,0.0,1075.0,15.6,['SF'],15.5,-6.700000000000003,-0.6050151250475478,2
287,Jaden Hardy,Dal,SG,16.5,3.3,8.0,1.0,1.3,1.3,2.2,1.8,0.4,0.1,1.0,8.9,0.3,0.0,1053.0,14.2,['SG'],14.3,-9.2,-0.8509350343081623,2
288,Jared Butler,FA,SG,14.2,2.5,5.1,0.8,0.9,0.6,1.5,3.1,0.7,0.2,1.3,6.3,0.3,0.0,,15.4,['SG'],15.400000000000002,-8.099999999999998,-0.7491928019452297,2
