0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
82,"Mark Williams
O
Cha
C",,,28.9,5.6,8.6,2.6,3.6,0.0,10.5,1.2,0.9,1.2,1.0,13.7,63.0,+3.2,2273,34.4
83,"Malcolm Brogdon
O
Wsh
PG, SG",,,31.9,6.4,13.9,3.1,3.6,2.2,4.8,5.3,0.8,0.3,1.8,18.0,59.2,+2.9,2252,34.6
84,"Jusuf Nurkic
Phx
C",,,27.9,4.6,8.9,2.4,3.7,0.4,10.9,3.8,1.1,1.0,2.4,12.0,76.2,+3.1,2305,33.4
85,"Tobias Harris
Det
PF, SF",,,32.9,6.3,12.8,2.4,2.7,1.3,6.2,2.9,0.9,0.6,1.3,16.2,80.0,+2.1,2364,32.4
86,"Zach Edey
Mem
C",,,25.9,6.1,10.9,2.2,3.1,0.0,6.7,1.1,0.7,1.6,1.6,14.4,69.0,+18.2,2079,29.7
87,"Tyler Herro
DTD
Mia
SG, PG",,,33.8,7.6,17.2,2.5,2.8,3.1,5.3,4.3,0.7,0.1,2.3,20.7,83.0,+2,2371,33.9
88,"Amen Thompson
Hou
SF, PF",,,28.1,4.8,9.0,2.2,3.1,0.4,8.3,3.3,1.6,0.8,1.8,12.1,79.3,+2.7,2308,33.0
89,"Jakob Poeltl
Tor
C",,,27.4,5.3,8.1,1.3,2.3,0.0,9.0,2.7,0.7,1.5,1.6,11.8,67.7,+2.7,2257,33.2
90,"RJ Barrett
DTD
Tor
SF, SG",,,34.2,7.9,16.4,3.9,5.4,1.7,5.8,3.4,0.6,0.4,2.3,21.4,78.1,+2,2271,32.9
91,"Bogdan Bogdanovic
DTD
Atl
SG, SF",,,31.8,6.2,14.3,1.9,2.1,3.1,3.6,3.3,1.2,0.3,1.4,17.4,76.7,+2.5,2347,31.7
92,"Kawhi Leonard
O
LAC
SF, PF",,,33.3,8.7,16.6,3.9,4.4,2.0,6.1,3.6,1.5,0.8,1.7,23.2,93.5,-4.8,2225,44.5
93,"Klay Thompson
Dal
SG, SF",,,33.1,7.2,16.6,1.8,2.0,3.9,3.7,2.5,0.7,0.5,1.7,20.2,82.5,+1.9,2326,31.9
94,"Deandre Ayton
DTD
Por
C",,,28.8,7.1,12.2,1.3,1.7,0.0,9.8,1.5,0.8,0.7,1.6,15.5,71.5,+1.1,2099,32.8
95,"Keegan Murray
Sac
PF, SF",,,33.2,5.4,12.0,1.2,1.5,2.5,5.3,1.6,1.0,0.7,0.8,14.6,81.4,+0.1,2298,29.5
96,"Buddy Hield
GS
SG, SF",,,30.1,5.3,12.2,1.0,1.1,3.2,4.0,3.1,1.0,0.5,1.5,14.8,76.0,+7.9,2420,29.5
97,"Grayson Allen
DTD
Phx
SG, PG",,,34.1,4.6,9.4,1.8,2.0,2.8,4.0,2.9,1.0,0.5,1.2,13.6,57.9,+8.9,2166,29.3
98,"Josh Hart
NY
SF, SG",,,34.1,3.9,8.5,1.4,1.8,1.0,8.4,4.1,1.0,0.6,1.6,10.1,76.3,+4.3,2293,29.8
99,"Khris Middleton
O
Mil
SF",,,29.0,6.2,13.0,2.3,2.7,1.9,5.0,5.6,1.0,0.3,2.5,16.6,66.6,+0.4,2105,34.0
100,"Clint Capela
DTD
Atl
C",,,25.4,4.8,8.2,1.5,2.5,0.0,10.5,1.1,0.6,1.4,0.9,11.2,66.0,-2.2,2263,30.6
101,"Jaime Jaquez Jr.
Mia
SF, SG",,,32.0,5.9,12.0,2.7,3.3,1.3,4.3,3.0,1.2,0.6,1.7,15.8,61.9,+11.3,2254,30.5
102,"Jonathan Kuminga
GS
PF",,,29.6,6.6,12.6,3.1,4.3,0.9,5.3,2.4,0.8,0.8,1.9,17.3,77.1,+1.4,2254,30.5
103,"Aaron Gordon
Den
PF",,,31.2,5.6,10.2,2.5,3.8,0.7,6.4,3.3,0.8,0.6,1.5,14.4,71.0,+1.2,2252,30.4
104,"Trayce Jackson-Davis
GS
PF, C",,,24.7,5.2,7.2,1.7,2.9,0.0,7.4,1.8,0.6,1.7,1.1,12.0,60.1,+8.2,2298,31.9
